Numeric,Numeric-2,Numeric-Suffix,processed_at,record_id
1,1,1st,2026-03-24 15:31:27,1
2,2,2nd,2026-03-24 15:31:27,2
3,3,3rd,2026-03-24 15:31:27,3
4,4,4th,2026-03-24 15:31:27,4
5,5,5th,2026-03-24 15:31:27,5
6,6,6th,2026-03-24 15:31:27,6
7,7,7th,2026-03-24 15:31:27,7
8,8,8th,2026-03-24 15:31:27,8
9,9,9th,2026-03-24 15:31:27,9
10,10,10th,2026-03-24 15:31:27,10
11,11,11th,2026-03-24 15:31:27,11
12,12,12th,2026-03-24 15:31:27,12
13,13,13th,2026-03-24 15:31:27,13
14,14,14th,2026-03-24 15:31:27,14
15,15,15th,2026-03-24 15:31:27,15
16,16,16th,2026-03-24 15:31:27,16
17,17,17th,2026-03-24 15:31:27,17
18,18,18th,2026-03-24 15:31:27,18
19,19,19th,2026-03-24 15:31:27,19
20,20,20th,2026-03-24 15:31:27,20
21,21,21st,2026-03-24 15:31:27,21
22,22,22nd,2026-03-24 15:31:27,22
23,23,23rd,2026-03-24 15:31:27,23
24,24,24th,2026-03-24 15:31:27,24
25,25,25th,2026-03-24 15:31:27,25
26,26,26th,2026-03-24 15:31:27,26
27,27,27th,2026-03-24 15:31:27,27
28,28,28th,2026-03-24 15:31:27,28
29,29,29th,2026-03-24 15:31:27,29
30,30,30th,2026-03-24 15:31:27,30
31,31,31st,2026-03-24 15:31:27,31
